{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-13', 'time_high': '2019-06-13 00:08:12', 'time_low': '2019-06-13 23:03:11', 'open': 1.6780297121, 'high': 1.715173296, 'low': 1.5995305648, 'close': 1.6033838981, 'volume': 71193631.6300049, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-14', 'time_high': '2019-06-14 14:53:03', 'time_low': '2019-06-14 03:35:10', 'open': 1.6036908467, 'high': 1.6713788643, 'low': 1.5991736731, 'close': 1.6317966169, 'volume': 93032663.0224532, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-15', 'time_high': '2019-06-15 06:58:11', 'time_low': '2019-06-15 00:05:11', 'open': 1.6305265436, 'high': 1.6654436757, 'low': 1.6302469606, 'close': 1.6403334258, 'volume': 59488010.7813895, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-16', 'time_high': '2019-06-16 06:08:04', 'time_low': '2019-06-16 20:22:11', 'open': 1.6403334258, 'high': 1.6855077569, 'low': 1.6258189763, 'close': 1.640228862, 'volume': 71218058.0106087, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-17', 'time_high': '2019-06-17 22:54:12', 'time_low': '2019-06-17 00:00:05', 'open': 1.640228862, 'high': 1.7059896466, 'low': 1.640228862, 'close': 1.697436651, 'volume': 58350865.5391165, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-18', 'time_high': '2019-06-18 00:13:11', 'time_low': '2019-06-18 22:28:09', 'open': 1.699031919, 'high': 1.7012416485, 'low': 1.624145417, 'close': 1.6345891589, 'volume': 48035192.4194122, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-19', 'time_high': '2019-06-19 14:30:08', 'time_low': '2019-06-19 00:03:11', 'open': 1.6341373941, 'high': 1.6971546329, 'low': 1.6331370517, 'close': 1.6872459749, 'volume': 68202374.571181, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-20', 'time_high': '2019-06-20 01:40:09', 'time_low': '2019-06-20 10:26:10', 'open': 1.6881146317, 'high': 1.7116172786, 'low': 1.6556692231, 'close': 1.6872774512, 'volume': 62454101.9438926, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-21', 'time_high': '2019-06-21 03:34:06', 'time_low': '2019-06-21 21:14:11', 'open': 1.6866406188, 'high': 1.7206668598, 'low': 1.5961191656, 'close': 1.6054818891, 'volume': 81977824.6005041, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-22', 'time_high': '2019-06-22 20:27:12', 'time_low': '2019-06-22 13:23:11', 'open': 1.6057905591, 'high': 1.6828772853, 'low': 1.5702488407, 'close': 1.6448737116, 'volume': 130479528.260555, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-23', 'time_high': '2019-06-23 00:50:11', 'time_low': '2019-06-23 23:45:09', 'open': 1.6444282095, 'high': 1.6639186213, 'low': 1.608303329, 'close': 1.6154175666, 'volume': 66435297.8032387, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-24', 'time_high': '2019-06-24 14:37:12', 'time_low': '2019-06-24 00:36:07', 'open': 1.6154175666, 'high': 1.6856034774, 'low': 1.5915230162, 'close': 1.6647285691, 'volume': 69765188.1850252, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-25', 'time_high': '2019-06-25 06:42:08', 'time_low': '2019-06-25 13:10:11', 'open': 1.6635994761, 'high': 1.6940678889, 'low': 1.6356355475, 'close': 1.6565989571, 'volume': 69189556.8499146, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-26', 'time_high': '2019-06-26 14:07:06', 'time_low': '2019-06-26 01:31:10', 'open': 1.6565989571, 'high': 1.9596089097, 'low': 1.6516653242, 'close': 1.840860634, 'volume': 176773846.830997, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-27', 'time_high': '2019-06-27 04:04:06', 'time_low': '2019-06-27 17:34:04', 'open': 1.840860634, 'high': 1.983222699, 'low': 1.6449377146, 'close': 1.7442224243, 'volume': 145061800.51453, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-28', 'time_high': '2019-06-28 19:45:08', 'time_low': '2019-06-28 03:25:11', 'open': 1.7442965447, 'high': 1.8484959671, 'low': 1.6919440083, 'close': 1.802631845, 'volume': 101426426.28636, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-29', 'time_high': '2019-06-29 21:45:02', 'time_low': '2019-06-29 04:10:10', 'open': 1.8064954791, 'high': 1.8974705761, 'low': 1.7355404358, 'close': 1.8817381569, 'volume': 104081121.1309, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-06-30', 'time_high': '2019-06-30 00:29:10', 'time_low': '2019-06-30 14:25:05', 'open': 1.881854523, 'high': 1.9214757892, 'low': 1.8082413752, 'close': 1.8083410629, 'volume': 98826424.0929903, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-01', 'time_high': '2019-07-01 02:50:11', 'time_low': '2019-07-01 19:58:08', 'open': 1.8083410629, 'high': 1.8711223566, 'low': 1.6585401158, 'close': 1.7689323664, 'volume': 127482243.091278, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-02', 'time_high': '2019-07-02 00:18:03', 'time_low': '2019-07-02 06:13:11', 'open': 1.7636642786, 'high': 1.7742010299, 'low': 1.5827165443, 'close': 1.7321450152, 'volume': 122440656.782171, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-03', 'time_high': '2019-07-03 22:40:08', 'time_low': '2019-07-03 03:00:11', 'open': 1.7332899081, 'high': 1.7988061391, 'low': 1.7261856013, 'close': 1.7912990073, 'volume': 64297844.5694198, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-04', 'time_high': '2019-07-04 12:59:02', 'time_low': '2019-07-04 08:42:11', 'open': 1.7851616843, 'high': 2.0974137698, 'low': 1.7227869929, 'close': 1.8439585907, 'volume': 195029267.141875, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-05', 'time_high': '2019-07-05 12:50:11', 'time_low': '2019-07-05 07:09:06', 'open': 1.8457881968, 'high': 1.9572144873, 'low': 1.8012350008, 'close': 1.861950312, 'volume': 95519142.475579, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-06', 'time_high': '2019-07-06 01:33:02', 'time_low': '2019-07-06 23:49:12', 'open': 1.8640164489, 'high': 1.9026653116, 'low': 1.8534068441, 'close': 1.8574033476, 'volume': 63910095.0385427, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-07', 'time_high': '2019-07-07 11:30:07', 'time_low': '2019-07-07 00:22:11', 'open': 1.8575046341, 'high': 1.9396359237, 'low': 1.8521704927, 'close': 1.890501458, 'volume': 74222439.1650837, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-08', 'time_high': '2019-07-08 12:54:05', 'time_low': '2019-07-08 09:03:04', 'open': 1.8899384297, 'high': 1.9286606292, 'low': 1.8798776068, 'close': 1.898597969, 'volume': 65701420.7210917, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-09', 'time_high': '2019-07-09 05:03:06', 'time_low': '2019-07-09 23:17:12', 'open': 1.8987242818, 'high': 1.932437283, 'low': 1.8564750038, 'close': 1.8574352088, 'volume': 76308615.5712047, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-10', 'time_high': '2019-07-10 06:51:06', 'time_low': '2019-07-10 22:12:08', 'open': 1.8571179813, 'high': 1.876850439, 'low': 1.6464031108, 'close': 1.7418835497, 'volume': 115324830.525424, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-11', 'time_high': '2019-07-11 10:45:11', 'time_low': '2019-07-11 04:57:12', 'open': 1.7416160715, 'high': 1.7957616855, 'low': 1.5522965471, 'close': 1.7186285906, 'volume': 134249903.064746, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-12', 'time_high': '2019-07-12 11:55:11', 'time_low': '2019-07-12 00:12:12', 'open': 1.7182741994, 'high': 2.0031358652, 'low': 1.7110452054, 'close': 1.980930508, 'volume': 104721992.412913, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-13', 'time_high': '2019-07-13 16:11:11', 'time_low': '2019-07-13 10:59:11', 'open': 1.9828316968, 'high': 2.0186450127, 'low': 1.869042993, 'close': 1.9830983443, 'volume': 98219511.9107986, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-14', 'time_high': '2019-07-14 02:00:08', 'time_low': '2019-07-14 16:00:12', 'open': 1.9841651924, 'high': 2.0033076839, 'low': 1.8541763962, 'close': 1.9107321963, 'volume': 96092999.391275, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-15', 'time_high': '2019-07-15 10:54:12', 'time_low': '2019-07-15 00:36:10', 'open': 1.9127168453, 'high': 2.0269911691, 'low': 1.8184947561, 'close': 1.9558639405, 'volume': 116830953.307811, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-16', 'time_high': '2019-07-16 06:11:04', 'time_low': '2019-07-16 23:59:10', 'open': 1.9571126342, 'high': 2.0655528792, 'low': 1.8446265033, 'close': 1.8446265033, 'volume': 127699750.658738, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-17', 'time_high': '2019-07-17 16:11:11', 'time_low': '2019-07-17 11:52:12', 'open': 1.8391704205, 'high': 1.9185406768, 'low': 1.7467955198, 'close': 1.8439408194, 'volume': 91785979.3220886, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-18', 'time_high': '2019-07-18 21:49:11', 'time_low': '2019-07-18 03:55:11', 'open': 1.8343190141, 'high': 1.944962565, 'low': 1.8169097202, 'close': 1.9276474038, 'volume': 93750599.4509341, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-19', 'time_high': '2019-07-19 21:58:06', 'time_low': '2019-07-19 09:33:11', 'open': 1.9276474038, 'high': 2.0029449919, 'low': 1.8176074929, 'close': 1.9881865775, 'volume': 137039186.930948, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-20', 'time_high': '2019-07-20 18:27:11', 'time_low': '2019-07-20 00:55:11', 'open': 1.9872811499, 'high': 2.0863470668, 'low': 1.961203223, 'close': 2.0061254957, 'volume': 98298105.9775539, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-21', 'time_high': '2019-07-21 04:17:03', 'time_low': '2019-07-21 03:23:11', 'open': 2.0061254957, 'high': 2.2846685853, 'low': 1.9848098297, 'close': 2.2077403373, 'volume': 98928408.9543875, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-22', 'time_high': '2019-07-22 23:13:11', 'time_low': '2019-07-22 00:30:06', 'open': 2.2060963024, 'high': 2.6372012382, 'low': 2.1519512284, 'close': 2.5972524263, 'volume': 175791579.222761, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-23', 'time_high': '2019-07-23 00:12:12', 'time_low': '2019-07-23 16:04:11', 'open': 2.5944936767, 'high': 2.7474590523, 'low': 2.3861866731, 'close': 2.4834417998, 'volume': 160811636.269057, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-24', 'time_high': '2019-07-24 23:50:11', 'time_low': '2019-07-24 07:03:12', 'open': 2.4834417998, 'high': 2.5792524069, 'low': 2.4203855917, 'close': 2.5692091609, 'volume': 123285889.347386, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-25', 'time_high': '2019-07-25 06:54:12', 'time_low': '2019-07-25 13:21:10', 'open': 2.5694102673, 'high': 2.6430377072, 'low': 2.5157525354, 'close': 2.6031997022, 'volume': 116358158.322768, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-26', 'time_high': '2019-07-26 23:59:12', 'time_low': '2019-07-26 02:15:11', 'open': 2.6033053699, 'high': 2.7447909317, 'low': 2.5346004766, 'close': 2.7447909317, 'volume': 121174680.681145, 'market_cap': 0.0}
{'ID': 0, 'name': 'OKB', 'symbol': 'OKB', 'date': '2019-07-27', 'time_high': '2019-07-27 08:01:13', 'time_low': '2019-07-27 16:04:08', 'open': 2.7447909317, 'high': 2.8816113349, 'low': 2.5306786688, 'close': 2.6153583629, 'volume': 147131042.078286, 'market_cap': 0.0}
